crops,Area Acres,Per Area yield (KG),Production in (KG),Year_range,crop_type,year mid point,crop indexing,location
sorghum/jower(winter),45.6,488.38,22270,2024-2025,CEAREALS,2024.5,1,Bangladesh
blackcumin,30.43,626,19040,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
blackcumin,2129,472,1005000,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
blackcumin,2487.37,429.39,1068060,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
blackcumin,2733.39,491.63,1343830,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
blackcumin,2825.48,483.16,1365160,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
blackcumin,2896.15,487.04,1410530,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
blackcumin,2793.39,511.69,1429340,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
capsicum,8,1375,11000,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
capsicum,13.4,2902.2,38890,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
capsicum,54.02,3267.42,176510,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
capsicum,48.87,3097.61,151380,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
capsicum,94.35,3047.27,287510,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
capsicum,111.03,2922.35,324470,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
capsicum,118.53,4005.91,474820,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
cassia-leaf,1145.02,10.28,1501220,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
chilies(summer),43173,723,31204000,2015-2016,CONDIMENTS & SPICES,2015.5,1,Bangladesh
chilies(summer),43637,713,31108000,2016-2017,CONDIMENTS & SPICES,2016.5,1,Bangladesh
chilies(summer),45726,786,35941000,2017-2018,CONDIMENTS & SPICES,2017.5,1,Bangladesh
chilies(summer),43947,989,43452000,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
chilies(summer),48367,944,45644000,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
chilies(summer),50671.78,1956.24,99126300,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
chilies(summer),50291.18,2557.15,128602240,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
chilies(summer),51499.92,3016.43,155346030,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
