CROP NAME,Crop type,Area Under garden(acre),Average Yield per fruit bearing tree,In garden production,In garden prduction (KG),Outside garden production,total production m tons,total production in KG,Year range,Year mid range,crop indexing,,,,,,,,,
Cassia-leaf,Condiments & Spices,1392,12,386,,1428.52,1815,1815000,2019-2020,2019.5,2,,,,,,,,,
Cassia-leaf,Condiments & Spices,1233.15,10.5,326.32,,1274.89,1601.21,1601210,2020-2021,2020.5,2,,,,,,,,,
Cassia-leaf,Condiments & Spices,1167.31,10.21,262.84,,1221.45,1484.29,1484290,2021-2022,2021.5,2,,,,,,,,,
Cassia-leaf,Condiments & Spices,1145.02,10.28,,,,1501.22,1501220,2022-2023,2022.5,2,,,,,,,,,
Cassia-leaf,Condiments & Spices,1328.06,11.89,,,,1646.91,1646910.00,2023-2024,2023.5,2,,,,,,,,,
Cassia-leaf,Condiments & Spices,1162.65,10.68,,,,1597.33,1597330,2024-2025,2024.5,2,,,,,,,,,
Coconut,Oil,5878,49,31238,,343031,374269,374269000,2015-2016,2015.5,2,,,,,,,,,
Coconut,Oil,9602,52,30556,,378079,408635,408635000,2016-2017,2016.5,2,,,,,,,,,
Coconut,Oil,10365,59,36612,,430363,466975,466975000,2017-2018,2017.5,2,,,,,,,,,
Coconut,Oil,88740,55,35570,,396026,431596,431596000,2018-2019,2018.5,2,,,,,,,,,
Coconut,Oil,89786,33,33788,,378085,411873,411873000,2019-2020,2019.5,2,,,,,,,,,
Coconut,Oil,89322,51,34099,,368753,402852,402852000,2020-2021,2020.5,2,,,,,,,,,
Coconut,Oil,74028,52.78,34335.58,,377633.98,411969.56,411969560,2021-2022,2021.5,2,,,,,,,,,
Coconut,Oil,74755.47,51.36,,,,403657.65,403657650,2022-2023,2022.5,2,,,,,,,,,
Coconut,Oil,65038.11,51.05,,,,400391.76,400391760.00,2023-2024,2023.5,2,,,,,,,,,
Coconut,Oil,61395.73,50.35,,,,397758.5,397758500,2024-2025,2024.5,2,,,,,,,,,
Custard apple (Sharifa),Fruits (Permanent),640,26,91,,1677,1768,1768000,2018-2019,2018.5,2,,,,,,,,,
Custard apple (Sharifa),Fruits (Permanent),720,28,99,,2167,2266,2266000,2019-2020,2019.5,2,,,,,,,,,
Custard apple (Sharifa),Fruits (Permanent),840.42,27.76,63.14,,2166.28,2229.42,2229420,2020-2021,2020.5,2,,,,,,,,,
Custard apple (Sharifa),Fruits (Permanent),810.9,20.53,124.44,,1538.59,1663.03,1663030,2021-2022,2021.5,2,,,,,,,,,
Custard apple (Sharifa),Fruits (Permanent),878.2,19.3,,,,1768.63,1768630,2022-2023,2022.5,2,,,,,,,,,
Custard apple (Sharifa),Fruits (Permanent),879.27,19.74,,,,1836.70,1836700.00,2023-2024,2023.5,2,,,,,,,,,
Custard apple (Sharifa),Fruits (Permanent),891.02,19.27,,,,1915.91,1915910,2024-2025,2024.5,2,,,,,,,,,
Date palm (Fruit),Sugar Crop,853,12,3840,,35379,39219,39219000,2015-2016,2015.5,2,,,,,,,,,
Date palm (Fruit),Sugar Crop,311,12,2809,,36130,38939,38939000,2016-2017,2016.5,2,,,,,,,,,
Date palm (Fruit),Sugar Crop,92333,12,2489,,34485,36974,36974000,2017-2018,2017.5,2,,,,,,,,,
Date palm (Fruit),Sugar Crop,55540,9,13150,,22193,35343,35343000,2018-2019,2018.5,2,,,,,,,,,
Date palm (Fruit),Sugar Crop,26099,12,7626,,27729,35355,35355000,2019-2020,2019.5,2,,,,,,,,,
Date palm (Fruit),Sugar Crop,23441.54,12.43,2717.2,,3747051,40187.71,40187710,2020-2021,2020.5,2,,,,,,,,,
Date palm (Fruit),Sugar Crop,15680.05,12.67,,,,39749.84,39749840,2022-2023,2022.5,2,,,,,,,,,
Date palm (Fruit),Sugar Crop,21513.79,12.55,,,,38839.47,38839470.00,2023-2024,2023.5,2,,,,,,,,,
Date palm (Fruit),Sugar Crop,21188.6,12.54,,,,37864.29,37864290,2024-2025,2024.5,2,,,,,,,,,
Date palm (Fruit),Sugar Crop,21628.56,12.72,1963.6,,38245.74,40209.34,40209340,2021-2022,2021.5,2,,,,,,,,,
Date Palm (Juice),Sugar Crop,1769,54,18053,,161724,179777,179777000,2015-2016,2015.5,2,,,,,,,,,
Date Palm (Juice),Sugar Crop,5132,52,8965,,160091,169056,169056000,2016-2017,2016.5,2,,,,,,,,,
Date Palm (Juice),Sugar Crop,68693,56,17882,,162983,180865,180865000,2017-2018,2017.5,2,,,,,,,,,
Date Palm (Juice),Sugar Crop,63261,52,19363,,146288,165651,165651000,2018-2019,2018.5,2,,,,,,,,,
