CROP NAME,Crop type,Area Under garden(acre),Average Yield per fruit bearing tree,In garden production,In garden prduction (KG),Outside garden production,total production m tons,total production in KG,Year range,Year mid range,crop indexing,,,,,,,,,
Monkey jackfruit (Dewya),Fruits (Permanent),803.24,22.98,,,,1532.57,1532570,2024-2025,2024.5,2,,,,,,,,,
Moringa (Shajna),Vegetable (Summer),,27,,,26949,26949,26949000,2015-2016,2015.5,2,,,,,,,,,
Moringa (Shajna),Vegetable (Summer),,27,,,28632,28632,28632000,2016-2017,2016.5,2,,,,,,,,,
Moringa (Shajna),Vegetable (Summer),1409,30,4,,31433,31437,31437000,2017-2018,2017.5,2,,,,,,,,,
Moringa (Shajna),Vegetable (Summer),16967,27,521,,28224,28745,28745000,2018-2019,2018.5,2,,,,,,,,,
Moringa (Shajna),Vegetable (Summer),14661,26.27,418,,27655,28073,28073000,2019-2020,2019.5,2,,,,,,,,,
Moringa (Shajna),Vegetable (Summer),7613,26.12,15,,28569,28584,28584000,2020-2021,2020.5,2,,,,,,,,,
Moringa (Shajna),Vegetable (Summer),7444.2,26.47,15.62,,2986457,2980.19,2980190,2021-2022,2021.5,2,,,,,,,,,
Moringa (Shajna),Vegetable (Summer),7802.33,27.11,,,,31147.44,31147440,2022-2023,2022.5,2,,,,,,,,,
Moringa (Shajna),Vegetable (Summer),7521.63,28.5,,,,33380.51,33380510.00,2023-2024,2023.5,2,,,,,,,,,
Moringa (Shajna),Vegetable (Summer),7777.13,28.11,,,,33973.59,33973590,2024-2025,2024.5,2,,,,,,,,,
Mulberry,Other Food Crop,463,24,18476,,9251,27727,27727000,2015-2016,2015.5,2,,,,,,,,,
Mulberry,Other Food Crop,491,27,17946,,9119,27065,27065000,2016-2017,2016.5,2,,,,,,,,,
Mulberry,Other Food Crop,314,30,18506,,8290,26796,26796000,2017-2018,2017.5,2,,,,,,,,,
Mulberry,Other Food Crop,292,30,19368,,7907,27275,27275000,2018-2019,2018.5,2,,,,,,,,,
Mulberry,Other Food Crop,874,29.98,18865,,7538,26403,26403000,2019-2020,2019.5,2,,,,,,,,,
Mulberry,Other Food Crop,934,30,22815,,7719,30534,30534000,2020-2021,2020.5,2,,,,,,,,,
Mulberry,Other Food Crop,733,24,24284,,5151,29435,29435000,2021-2022,2021.5,2,,,,,,,,,
Mulberry,Other Food Crop,613.02,19.22,,,,22905.47,22905470,2022-2023,2022.5,2,,,,,,,,,
Mulberry,Other Food Crop,619.73,16.37,,,,19777.90,19777900.00,2023-2024,2023.5,2,,,,,,,,,
Mulberry,Other Food Crop,591.7,17.17,,,,20333.34,20333340,2024-2025,2024.5,2,,,,,,,,,
Myrobalan (Amloki),Fruits (Permanent),3180,28,175,,2456,2631,2631000,2018-2019,2018.5,2,,,,,,,,,
Myrobalan (Amloki),Fruits (Permanent),3355,29.63,232,,2528,2760,2760000,2019-2020,2019.5,2,,,,,,,,,
Myrobalan (Amloki),Fruits (Permanent),1627.17,26.35,157.38,,2663.04,2820.42,2820420,2020-2021,2020.5,2,,,,,,,,,
Myrobalan (Amloki),Fruits (Permanent),1638.84,25.79,135.53,,2459.84,2609.36,2609360,2021-2022,2021.5,2,,,,,,,,,
Myrobalan (Amloki),Fruits (Permanent),1456.41,24,,,,2434.9,2434900,2022-2023,2022.5,2,,,,,,,,,
Myrobalan (Amloki),Fruits (Permanent),1453.37,25.74,,,,2700.79,2700790.00,2023-2024,2023.5,2,,,,,,,,,
Myrobalan (Amloki),Fruits (Permanent),1453.53,23.85,,,,2544.21,2544210,2024-2025,2024.5,2,,,,,,,,,
Olive,Fruits (Permanent),168,45,931,,18094,19025,19025000,2015-2016,2015.5,2,,,,,,,,,
Olive,Fruits (Permanent),184,40,1093,,16795,17888,17888000,2016-2017,2016.5,2,,,,,,,,,
Olive,Fruits (Permanent),20918,39,1066,,16896,17962,17962000,2017-2018,2017.5,2,,,,,,,,,
Olive,Fruits (Permanent),4766,39,642,,16805,17447,17447000,2018-2019,2018.5,2,,,,,,,,,
Olive,Fruits (Permanent),5050 ,39,666,,17440,18106,18106000,2019-2020,2019.5,2,,,,,,,,,
Olive,Fruits (Permanent),5205.25,40.2,442.05,,1840658,18848.63,18848630,2020-2021,2020.5,2,,,,,,,,,
Olive,Fruits (Permanent),5101.22,39.18,348.94,,18147.46,18496.4,18496400,2021-2022,2021.5,2,,,,,,,,,
Olive,Fruits (Permanent),4794.43,40.47,,,,18825.97,18825970,2022-2023,2022.5,2,,,,,,,,,
Olive,Fruits (Permanent),4799.11,40.5,,,,19153.54,19153540.00,2023-2024,2023.5,2,,,,,,,,,
Olive,Fruits (Permanent),4817.57,40.97,,,,19449.94,19449940,2024-2025,2024.5,2,,,,,,,,|,724014
Orange,Fruits (Permanent),1073,23,2438,,780,3218,3218000,2015-2016,2015.5,2,,,,,,,,,
Orange,Fruits (Permanent),1055,24,1704,,1668,3372,3372000,2016-2017,2016.5,2,,,,,,,,,
Orange,Fruits (Permanent),220650,25,2616,,699,3315,3315000,2017-2018,2017.5,2,,,,,,,,,
Orange,Fruits (Permanent),45342,20,1694,,1699,3393,3393000,2018-2019,2018.5,2,,,,,,,,,
Orange,Fruits (Permanent),1915,24,2460,,752,3212,3212000,2019-2020,2019.5,2,,,,,,,,,
Orange,Fruits (Permanent),1920,28.38,2588.92,,1150.39,3739.31,3739310,2020-2021,2020.5,2,,,,,,,,,
Orange,Fruits (Permanent),2188.14,25.6,2708.2,,842.48,3550.68,3550680,2021-2022,2021.5,2,,,,,,,,,
Orange,Fruits (Permanent),2439.45,23.4,,,,3616.43,3616430,2022-2023,2022.5,2,,,,,,,,,
Orange,Fruits (Permanent),2435.62,22.99,,,,3953.84,3953840.00,2023-2024,2023.5,2,,,,,,,,,
Orange,Fruits (Permanent),2493.96,23.02,,,,4170.39,4170390,2024-2025,2024.5,2,,,,,,,,,
Palm (Juice),Sugar Crop,9456.76,84.1,,,,8610 ,8610100 ,2022-2023,2022.5,2,,,,,,,,,
Palm (Juice),Sugar Crop,9337.24,87.27,,,,61197.67,61197670.00,2023-2024,2023.5,2,,,,,,,,,
Palm (Juice),Sugar Crop,10131.91,90.85,,,,66054.78,66054780,2024-2025,2024.5,2,,,,,,,,,
Palmyra Palm (Juice),Sugar Crop,103,130,2994,,89323,92317,92317000,2015-2016,2015.5,2,,,,,,,,,
Palmyra Palm (Juice),Sugar Crop,196,121,3696,,86035,89731,89731000,2016-2017,2016.5,2,,,,,,,,,
Palmyra Palm (Juice),Sugar Crop,33036,119,3393,,87823,91216,91216000,2017-2018,2017.5,2,,,,,,,,,
Palmyra Palm (Juice),Sugar Crop,7505,67,2875,,46415,49290,49290000,2018-2019,2018.5,2,,,,,,,,,
Palmyra Palm (Juice),Sugar Crop,6837,66,2221,,43946,46167,46167000,2019-2020,2019.5,2,,,,,,,,,
Palmyra Palm (Juice),Sugar Crop,10106.2,84.35,885.22,,56683.83,57569.05,57569050,2020-2021,2020.5,2,,,,,,,,,
Palmyra Palm (Juice),Sugar Crop,10238.17,79.62,603.86,,56296.34,56900.2,56900200,2021-2022,2021.5,2,,,,,,,,,
Permenant Condiment,Condiments & Spices,129,13,240,,1310,1550,1550000,2015-2016,2015.5,2,,,,,,,,,
Permenant Condiment,Condiments & Spices,156,12,286,,1304,1590,1590000,2016-2017,2016.5,2,,,,,,,,,
Permenant Condiment,Condiments & Spices,333,18,290,,1890,2180,2180000,2017-2018,2017.5,2,,,,,,,,,
Pomegranate (Dalim),Fruits (Permanent),1005,23,24,,2697,2721,2721000,2018-2019,2018.5,2,,,,,,,,,
Pomegranate (Dalim),Fruits (Permanent),1002,12,70,,1442,1512,1512000,2019-2020,2019.5,2,,,,,,,,,
Pomegranate (Dalim),Fruits (Permanent),670.64,10.42,24.43,,1386.96,1412.39,1412390,2020-2021,2020.5,2,,,,,,,,,
Pomegranate (Dalim),Fruits (Permanent),790.4,10.32,18.03,,1424.61,1442.64,1442640,2021-2022,2021.5,2,,,,,,,,,
Pomegranate (Dalim),Fruits (Permanent),815.94,10.36,,,,1548.79,1548790,2022-2023,2022.5,2,,,,,,,,,
Pomegranate (Dalim),Fruits (Permanent),795.89,10.27,,,,1598.14,1598140.00,2023-2024,2023.5,2,,,,,,,,,
Pomegranate (Dalim),Fruits (Permanent),829.14,9.51,,,,1569.82,1569820,2024-2025,2024.5,2,,,,,,,,,
Pomelo,Fruits (Permanent),812,35,3768,,62702,66470,66470000,2015-2016,2015.5,2,,,,,,,,,
Pomelo,Fruits (Permanent),777,35,3481,,62079,65560,65560000,2016-2017,2016.5,2,,,,,,,,,
Pomelo,Fruits (Permanent),1079,37,4018,,64119,68137,68137000,2017-2018,2017.5,2,,,,,,,,,
Pomelo,Fruits (Permanent),31240,39,5448,,66662,72110,72110000,2018-2019,2018.5,2,,,,,,,,,
Pomelo,Fruits (Permanent),31641,43.5,8236,,72790,81026,81026000,2019-2020,2019.5,2,,,,,,,,,
Pomelo,Fruits (Permanent),13969.98,40.24,8039.81,,70626.01,7865.82,7865820,2020-2021,2020.5,2,,,,,,,,,
Pomelo,Fruits (Permanent),13982.12,37.68,6701.33,,69663.3,76364.63,76364630,2021-2022,2021.5,2,,,,,,,,,
Pomelo,Fruits (Permanent),12800.07,35.7,,,,71785.28,71785280,2022-2023,2022.5,2,,,,,,,,,
Pomelo,Fruits (Permanent),12789.09,36.06,,,,71302.76,71302760.00,2023-2024,2023.5,2,,,,,,,,,
Pomelo,Fruits (Permanent),12483.32,36.53,,,,74050.43,74050430,2024-2025,2024.5,2,,,,,,,,,
Ripe Papaya,Fruits (Permanent),9761,24,34713,,95658,130371,130371000,2015-2016,2015.5,2,,,,,,,,,
Ripe Papaya,Fruits (Permanent),3942,25,36530,,98117,134647,134647000,2016-2017,2016.5,2,,,,,,,,,
Ripe Papaya,Fruits (Permanent),8251,25,38643,,92955,131598,131598000,2017-2018,2017.5,2,,,,,,,,,
Ripe Papaya,Fruits (Permanent),8461,25,46288,,89521,135809,135809000,2018-2019,2018.5,2,,,,,,,,,
Ripe Papaya,Fruits (Permanent),9004,23,41430,,89249,130679,130679000,2019-2020,2019.5,2,,,,,,,,,
Ripe Papaya,Fruits (Permanent),8414,23.28,38533,,87225,125758,125758000,2020-2021,2020.5,2,,,,,,,,,
Ripe Papaya,Fruits (Permanent),1229979,26.33,53176.05,,94174.61,147350.66,147350660,2021-2022,2021.5,2,,,,,,,,,
Ripe Papaya,Fruits (Permanent),1798.81,25.27,,,,145316.82,145316820,2022-2023,2022.5,2,,,,,,,,,
Ripe Papaya,Fruits (Permanent),17679.99,24.88,,,,146157.48,146157480.00,2023-2024,2023.5,2,,,,,,,,,
Ripe Papaya,Fruits (Permanent),17539.36,25.33,,,,145441.02,145441020,2024-2025,2024.5,2,,,,,,,,,
Ripe Tal,Sugar Crop,123,98,2244,,148813,150757,150757000,2015-2016,2015.5,2,,,,,,,,,
Ripe Tal,Sugar Crop,98,107,1462,,159642,161104,161104000,2016-2017,2016.5,2,,,,,,,,,
Ripe Tal,Sugar Crop,6326324,106,802,,159098,159900,159900000,2017-2018,2017.5,2,,,,,,,,,
Ripe Tal,Sugar Crop,82998,107,680,,134151,654831,654831000,2018-2019,2018.5,2,,,,,,,,,
Ripe Tal,Sugar Crop,81344,108,2083,,159340,161423,161423000,2019-2020,2019.5,2,,,,,,,,,
Ripe Tal,Sugar Crop,79666,102,1181,,143474,144655,144655000,2020-2021,2020.5,2,,,,,,,,,
Ripe Tal,Sugar Crop,15766,99,1138,,143307,144445,144445000,2021-2022,2021.5,2,,,,,,,,,
Ripe Tal,Sugar Crop,13814.08,126.52,,,,180087.6,180087600,2022-2023,2022.5,2,,,,,,,,,
Ripe Tal,Sugar Crop,13397.26,100.45,,,,142302.38,142302380.00,2023-2024,2023.5,2,,,,,,,,,
Ripe Tal,Sugar Crop,13301.13,100.16,,,,141548.89,141548890,2024-2025,2024.5,2,,,,,,,,,
Rose Flower,Flower (Permanent),475,6,2521,,281,2802,2802000,2015-2016,2015.5,2,,,,,,,,,
Rose Flower,Flower (Permanent),516,6,18694,,807,19501,19501000,2016-2017,2016.5,2,,,,,,,,,
Rose Flower,Flower (Permanent),451,5,559,,15419,15978,15978000,2017-2018,2017.5,2,,,,,,,,,
Rose Flower,Flower (Permanent),575,6,1983,,14046,16029,16029000,2018-2019,2018.5,2,,,,,,,,,
Rose Flower,Flower (Permanent),666,6.43,19017,,176.1,19193,19193000,2019-2020,2019.5,2,,,,,,,,,
Rose Flower,Flower (Permanent),650,7.42,21702.42,,279.28,21981.7,21981700,2020-2021,2020.5,2,,,,,,,,,
Rose Flower,Flower (Permanent),608.09,7.1,21939.85,,200.2,20140.14,20140140,2021-2022,2021.5,2,,,,,,,,,
Rose Flower,Flower (Permanent),667.37,7.43,,,,21488.64,21488640,2022-2023,2022.5,2,,,,,,,,,
Rose Flower,Flower (Permanent),705.82,7.75,,,,23028.54,23028540.00,2023-2024,2023.5,2,,,,,,,,,
Rose Flower,Flower (Permanent),723.9,7.87,,,,23599.75,23599750,2024-2025,2024.5,2,,,,,,,,,
Sapodilla (Safeda),Fruits (Permanent),1436,27,523,,6530,7053,7053000,2018-2019,2018.5,2,,,,,,,,,
Sapodilla (Safeda),Fruits (Permanent),1859,36.17,484,,5846,6330,6330000,2019-2020,2019.5,2,,,,,,,,,
Sapodilla (Safeda),Fruits (Permanent),1683,33.69,135,,6438.45,6573.45,6573450,2020-2021,2020.5,2,,,,,,,,,
Sapodilla (Safeda),Fruits (Permanent),1935.52,32.36,171.27,,6297.07,6468.34,6468340,2021-2022,2021.5,2,,,,,,,,,
Sapodilla (Safeda),Fruits (Permanent),1661.43,33.32,,,,6808.56,6808560,2022-2023,2022.5,2,,,,,,,,,
Sapodilla (Safeda),Fruits (Permanent),1683.1,32.45,,,,6679.89,6679890.00,2023-2024,2023.5,2,,,,,,,,,
Sapodilla (Safeda),Fruits (Permanent),1654.51,32.08,,,,6691.89,6691890,2024-2025,2024.5,2,,,,,,,,,
Shimul Cotton,Fiber,57,0.03,14,,12026,12040,12040000,2015-2016,2015.5,2,,,,,,,,,
Shimul Cotton,Fiber,6,0.029,9,,11656,11665,11665000,2016-2017,2016.5,2,,,,,,,,,
Shimul Cotton,Fiber,20137,32,12,,17040,17052,17052000,2017-2018,2017.5,2,,,,,,,,,
Shimul Cotton,Fiber,18104,0.101,30,,8544,8574,8574000,2018-2019,2018.5,2,,,,,,,,,
Shimul Cotton,Fiber,18732,0.105,67.27,,48624.02,48691,48691000,2019-2020,2019.5,2,,,,,,,,,
Shimul Cotton,Fiber,8429.83,0.364,292.59,,29751.27,30043.86,30043860,2020-2021,2020.5,2,,,,,,,,,
Shimul Cotton,Fiber,7988.49,0.069,1000.96,,30617.43,31618.39,31618390,2021-2022,2021.5,2,,,,,,,,,
Shimul Cotton,Fiber,7894.84,0.068,,,,30517.82,30517820,2022-2023,2022.5,2,,,,,,,,,
Shimul Cotton,Fiber,7883.46,0.07,,,,30754.74,30754740.00,2023-2024,2023.5,2,,,,,,,,,
Shimul Cotton,Fiber,6399.63,0.07,,,,26827.12,26827120,2024-2025,2024.5,2,,,,,,,,,
Sugar apple (Ata),Fruits (Permanent),1413,26,101,,6082,6183,6183000,2018-2019,2018.5,2,,,,,,,,,
Sugar apple (Ata),Fruits (Permanent),1388,25,80,,5503,5583,5583000,2019-2020,2019.5,2,,,,,,,,,
Sugar apple (Ata),Fruits (Permanent),1533.5,24.52,69.21,,5401.32,5470.53,5470530,2020-2021,2020.5,2,,,,,,,,,
Sugar apple (Ata),Fruits (Permanent),1525.03,22.94,33.45,,5115.68,5149.13,5149130,2021-2022,2021.5,2,,,,,,,,,
Sugar apple (Ata),Fruits (Permanent),1550.62,21.63,,,,5034.93,5034930,2022-2023,2022.5,2,,,,,,,,,
Sugar apple (Ata),Fruits (Permanent),1746.61,24.55,,,,5837.95,5837950.00,2023-2024,2023.5,2,,,,,,,,,
Sugar apple (Ata),Fruits (Permanent),1576.79,24.66,,,,5955.57,5955570,2024-2025,2024.5,2,,,,,,,,,
Sweet orange (Malta),Fruits (Permanent),996,22,1328,,1398,2726,2726000,2018-2019,2018.5,2,,,,,,,,,
Sweet orange (Malta),Fruits (Permanent),1324,23,1789,,1674,3463,3463000,2019-2020,2019.5,2,,,,,,,,,
Sweet orange (Malta),Fruits (Permanent),13256,24,4112.92,,2388.79,6501.71,6501710,2020-2021,2020.5,2,,,,,,,,,
Sweet orange (Malta),Fruits (Permanent),4456.81,24.14,9119.28,,1149.86,10269.14,10269140,2021-2022,2021.5,2,,,,,,,,,
Sweet orange (Malta),Fruits (Permanent),4184.23,17.78,,,,8886,8886000,2022-2023,2022.5,2,,,,,,,,,
Sweet orange (Malta),Fruits (Permanent),4707.64,24.14,,,,11064.00,11064000.00,2023-2024,2023.5,2,,,,,,,,,
Sweet orange (Malta),Fruits (Permanent),4953.02,20.46,,,,12929.14,12929140,2024-2025,2024.5,2,,,,,,,,,
Tamarind,Condiments & Spices,6279.99,35.31,1.58,,9471.02,9552.6,9552600,2020-2021,2020.5,2,,,,,,,,,
Tamarind,Condiments & Spices,6377.03,36.88,84.84,,10153.95,10238.79,10238790,2021-2022,2021.5,2,,,,,,,,,
Tamarind,Condiments & Spices,5872.06,35.95,,,,10844.28,10844280,2022-2023,2022.5,2,,,,,,,,,
Tamarind,Condiments & Spices,5598.16,36.76,,,,10368.20,10368200.00,2023-2024,2023.5,2,,,,,,,,,
Tamarind,Condiments & Spices,5656.42,35.97,,,,10248.88,10248880,2024-2025,2024.5,2,,,,,,,,,
Tetul,Fruits (Permanent),81,42,56,,10910,10966,10966000,2015-2016,2015.5,2,,,,,,,,,
Tetul,Fruits (Permanent),22,39,51,,10761,10812,10812000,2016-2017,2016.5,2,,,,,,,,,
Tetul,Fruits (Permanent),14804,44,229,,11428,11657,11657000,2017-2018,2017.5,2,,,,,,,,,
Tetul,Fruits (Permanent),15461,42,97,,11548,11645,11645000,2018-2019,2018.5,2,,,,,,,,,
Tetul,Fruits (Permanent),11274,42.7,97,,11293,11390,11390000,2019-2020,2019.5,2,,,,,,,,,
water apple (Jamrul),Fruits (Permanent),8,35,56,,9981,10037,10037000,2015-2016,2015.5,2,,,,,,,,,
water apple (Jamrul),Fruits (Permanent),8,34,61,,10030,10091,10091000,2016-2017,2016.5,2,,,,,,,,,
water apple (Jamrul),Fruits (Permanent),8,34,57,,10622,10679,10679000,2017-2018,2017.5,2,,,,,,,,,
water apple (Jamrul),Fruits (Permanent),5832,37,1660,,10961,12621,12621000,2018-2019,2018.5,2,,,,,,,,,
water apple (Jamrul),Fruits (Permanent),5913,36.97,1172,,11154,12326,12326000,2019-2020,2019.5,2,,,,,,,,,
water apple (Jamrul),Fruits (Permanent),6649.34,35.67,1089.75,,11677.57,12767.32,12767320,2020-2021,2020.5,2,,,,,,,,,
water apple (Jamrul),Fruits (Permanent),6147.47,37.17,926.16,,12437.02,1336318,1336318000,2021-2022,2021.5,2,,,,,,,,,
water apple (Jamrul),Fruits (Permanent),5952.58,36.85,,,,13110.41,13110410,2022-2023,2022.5,2,,,,,,,,,
water apple (Jamrul),Fruits (Permanent),3399.18,35.07,,,,12646.65,12646650.00,2023-2024,2023.5,2,,,,,,,,,
water apple (Jamrul),Fruits (Permanent),3319.75,33.66,,,,12148.15,12148150,2024-2025,2024.5,2,,,,,,,,,
Wood apple (bell),Fruits (Permanent),57,52,315,,27600,27915,27915000,2015-2016,2015.5,2,,,,,,,,,
Wood apple (bell),Fruits (Permanent),62,50,349,,28396,28745,28745000,2016-2017,2016.5,2,,,,,,,,,
Wood apple (bell),Fruits (Permanent),18110,50,327,,27851,28178,28178000,2017-2018,2017.5,2,,,,,,,,,
Wood apple (bell),Fruits (Permanent),17901,50,1656,,27050,28706,28706000,2018-2019,2018.5,2,,,,,,,,,
Wood apple (bell),Fruits (Permanent),18784,51,1819,,28297,30116,30116000,2019-2020,2019.5,2,,,,,,,,,
Wood apple (bell),Fruits (Permanent),17995.18,51.93,537,,29472,30009,30009000,2020-2021,2020.5,2,,,,,,,,,
Wood apple (bell),Fruits (Permanent),17975.34,50.46,426.81,,28878.94,29305.75,29305750,2021-2022,2021.5,2,,,,,,,,,
Wood apple (bell),Fruits (Permanent),18335.92,51.15,,,,30441.23,30441230,2022-2023,2022.5,2,,,,,,,,,
Wood apple (bell),Fruits (Permanent),7354.33,51.37,,,,33037.84,33037840.00,2023-2024,2023.5,2,,,,,,,,,
Wood apple (bell),Fruits (Permanent),6379.73,50.55,,,,30330.27,30330270,2024-2025,2024.5,2,,,,,,,,,
